"","ID","task","profile","Affiliation.of.the.terrorist","Legal.status.of.the.terrorist","Terrorist.tactic","Motivation.for.the.terrorist.attack","Number.of.deaths","Probability.of.the.attack","selected","progress","finished","durationinseconds"
"26605",2661,4,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","1","0.1%",0,100,1,140
"26606",2661,3,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","1","1%",1,100,1,140
"26607",2661,3,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","10","0.1%",0,100,1,140
"26608",2661,2,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","10","10%",0,100,1,140
"26609",2661,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","10","1%",1,100,1,140
"26610",2661,5,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","1","0.1%",0,100,1,140
"26611",2662,4,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","100","0.1%",1,100,1,198
"26612",2662,5,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","1","0.1%",0,100,1,198
"26613",2662,1,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","1","1%",0,100,1,198
"26614",2662,3,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","10","10%",0,100,1,198
"26615",2662,4,2,"Lone actor - operating alone","Citizen","Shooting","Jihadism","100","0.1%",0,100,1,198
"26616",2662,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","1","0.1%",1,100,1,198
"26617",2662,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","1","1%",0,100,1,198
"26618",2662,1,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","100","0.1%",1,100,1,198
"26619",2662,3,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","100","0.1%",1,100,1,198
"26620",2662,2,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","1","10%",1,100,1,198
"26621",2663,4,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","1","0.1%",0,100,1,158
"26622",2663,4,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","10","1%",1,100,1,158
"26623",2663,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","10","10%",1,100,1,158
"26624",2663,3,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","1","10%",0,100,1,158
"26625",2663,5,2,"Lone actor - operating alone","Citizen","Stabbing","Jihadism","1","1%",0,100,1,158
"26626",2663,2,1,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","10","1%",0,100,1,158
"26627",2663,3,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","100","0.1%",1,100,1,158
"26628",2663,1,2,"Lone actor - operating alone","Immigrant","Stabbing","Jihadism","1","10%",0,100,1,158
"26629",2663,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","100","1%",1,100,1,158
"26630",2663,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Right-wing extremism","10","0.1%",1,100,1,158
"26631",2664,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","100","0.1%",1,100,1,153
"26632",2664,1,1,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","1","0.1%",0,100,1,153
"26633",2664,5,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","10","1%",1,100,1,153
"26634",2664,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","10","1%",1,100,1,153
"26635",2664,4,1,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","1","1%",0,100,1,153
"26636",2664,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","1","1%",1,100,1,153
"26637",2664,5,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","100","0.1%",0,100,1,153
"26638",2664,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","10","0.1%",0,100,1,153
"26639",2664,3,2,"Lone actor - operating alone","Citizen","Stabbing","Jihadism","1","10%",1,100,1,153
"26640",2664,3,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","1","1%",0,100,1,153
"26641",2665,5,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","10","1%",1,100,1,284
"26642",2665,3,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","1","10%",1,100,1,284
"26643",2665,4,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","100","1%",1,100,1,284
"26644",2665,1,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","10","1%",1,100,1,284
"26645",2665,2,1,"Lone actor - operating alone","Citizen","Stabbing","Jihadism","10","10%",1,100,1,284
"26646",2665,3,2,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","100","0.1%",0,100,1,284
"26647",2665,5,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","1","0.1%",0,100,1,284
"26648",2665,1,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","1","1%",0,100,1,284
"26649",2665,2,2,"Lone actor - operating alone","Immigrant","Stabbing","Jihadism","1","10%",0,100,1,284
"26650",2665,4,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Right-wing extremism","10","10%",0,100,1,284
"26651",2666,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","100","1%",NA,24,0,51
"26652",2666,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Jihadism","100","1%",NA,24,0,51
"26653",2666,2,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","1","1%",NA,24,0,51
"26654",2666,3,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","1","0.1%",NA,24,0,51
"26655",2666,5,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","1","0.1%",NA,24,0,51
"26656",2666,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","100","10%",NA,24,0,51
"26657",2666,1,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","10","0.1%",NA,24,0,51
"26658",2666,2,2,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","10","0.1%",NA,24,0,51
"26659",2666,1,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","100","0.1%",NA,24,0,51
"26660",2666,3,1,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Right-wing extremism","1","10%",NA,24,0,51
"26661",2667,1,2,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","1","10%",0,100,1,122
"26662",2667,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Jihadism","10","0.1%",1,100,1,122
"26663",2667,1,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","10","10%",1,100,1,122
"26664",2667,4,2,"Lone actor - operating alone","Citizen","Shooting","Jihadism","100","0.1%",1,100,1,122
"26665",2667,2,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","1","10%",0,100,1,122
"26666",2667,3,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","100","0.1%",1,100,1,122
"26667",2667,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","10","1%",0,100,1,122
"26668",2667,5,2,"Lone actor - operating alone","Immigrant","Stabbing","Right-wing extremism","10","10%",0,100,1,122
"26669",2667,3,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","10","10%",0,100,1,122
"26670",2667,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Jihadism","10","10%",1,100,1,122
"26671",2668,2,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","1","0.1%",0,100,1,130
"26672",2668,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Right-wing extremism","1","0.1%",1,100,1,130
"26673",2668,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","100","10%",0,100,1,130
"26674",2668,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","10","0.1%",1,100,1,130
"26675",2668,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","100","10%",1,100,1,130
"26676",2668,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","1","0.1%",0,100,1,130
"26677",2668,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","10","0.1%",0,100,1,130
"26678",2668,1,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","100","10%",1,100,1,130
"26679",2668,3,2,"Lone actor - operating alone","Immigrant","Stabbing","Jihadism","10","0.1%",0,100,1,130
"26680",2668,5,1,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Jihadism","10","1%",1,100,1,130
"26681",2669,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","10","10%",1,100,1,206
"26682",2669,5,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","10","10%",0,100,1,206
"26683",2669,2,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","100","0.1%",1,100,1,206
"26684",2669,2,1,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Right-wing extremism","1","1%",0,100,1,206
"26685",2669,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","100","1%",1,100,1,206
"26686",2669,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","10","1%",0,100,1,206
"26687",2669,5,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","100","1%",1,100,1,206
"26688",2669,3,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","1","10%",0,100,1,206
"26689",2669,4,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","100","0.1%",0,100,1,206
"26690",2669,1,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","100","10%",1,100,1,206
"26691",2670,1,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","10","10%",1,100,1,118
"26692",2670,5,2,"Lone actor - operating alone","Citizen","Shooting","Jihadism","10","0.1%",0,100,1,118
"26693",2670,3,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","1","1%",1,100,1,118
"26694",2670,5,1,"Lone actor - operating alone","Citizen","Stabbing","Jihadism","10","10%",1,100,1,118
"26695",2670,1,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","100","0.1%",0,100,1,118
"26696",2670,2,1,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","1","10%",1,100,1,118
"26697",2670,3,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","1","0.1%",0,100,1,118
"26698",2670,4,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","100","1%",1,100,1,118
"26699",2670,4,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","10","1%",0,100,1,118
"26700",2670,2,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","10","0.1%",0,100,1,118
"26701",2671,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","1","1%",1,100,1,181
"26702",2671,1,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","10","10%",0,100,1,181
"26703",2671,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","1","10%",1,100,1,181
"26704",2671,4,1,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","10","0.1%",0,100,1,181
"26705",2671,2,1,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","1","10%",0,100,1,181
"26706",2671,5,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","10","10%",0,100,1,181
"26707",2671,3,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","1","0.1%",0,100,1,181
"26708",2671,4,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","100","10%",1,100,1,181
"26709",2671,5,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","100","10%",1,100,1,181
"26710",2671,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","10","1%",1,100,1,181
"26711",2672,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","10","0.1%",1,100,1,294
"26712",2672,3,2,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","10","0.1%",0,100,1,294
"26713",2672,1,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","1","1%",0,100,1,294
"26714",2672,1,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","10","1%",1,100,1,294
"26715",2672,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","10","0.1%",0,100,1,294
"26716",2672,4,1,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","1","0.1%",0,100,1,294
"26717",2672,2,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","1","10%",0,100,1,294
